food_code,Product_Name,Prep_Time_min,Calories_kcal,Sodium_mg,SatFat_g,TotalSugar_g,Category,Price_USD
58407030,"Soup, ramen noodles, water added",3.0,165.0,705.0,3.045,0.75,Instant Noodles and Soups,0.12566375
92511000,"Lemonade, frozen concentrate, not reconstituted",5.0,490.0,17.5,0.0625,111.15,Frozen and Ready Meals,0.182545
58400100,"Soup, noodle, NFS",3.0,225.0,725.0,1.7225,1.55,Instant Noodles and Soups,0.270765
56140100,"Pasta, gluten free",10.0,447.5,10.0,0.375,0.0,Macaroni and Pasta,0.28044125
61210720,"Orange juice, 100%, frozen, not reconstituted",5.0,370.0,17.5,0.1475,74.2,Frozen and Ready Meals,0.291385
56132990,"Pasta, whole grain, cooked",10.0,370.0,587.5,0.605,1.875,Macaroni and Pasta,0.31481750000000003
61210820,"Orange juice, 100%, with calcium added, frozen, reconstituted",5.0,105.0,12.5,0.0425,21.200000000000003,Frozen and Ready Meals,0.38424
61210620,"Orange juice, 100%, frozen, reconstituted",5.0,105.0,12.5,0.0425,21.175,Frozen and Ready Meals,0.38424
58147510,Flavored pasta,10.0,217.5,435.0,1.09,2.475,Macaroni and Pasta,0.4108425
58146322,"Pasta with tomato-based sauce and meat, home recipe",10.0,312.5,497.5,1.85,6.1,Macaroni and Pasta,0.44813000000000003
58146323,"Pasta with tomato-based sauce and meat, ready-to-heat",10.0,347.5,837.5,2.415,5.9750000000000005,Macaroni and Pasta,0.45924
58146622,"Pasta, whole grain, with tomato-based sauce and meat, home recipe",10.0,302.5,500.0,1.9375,6.35,Macaroni and Pasta,0.46801875000000004
58163380,Flavored rice and pasta mixture,10.0,295.0,637.5,1.7625,0.44999999999999996,Macaroni and Pasta,0.47080249999999996
58146321,"Pasta with tomato-based sauce and meat, restaurant",10.0,445.0,957.5,4.0075,5.6499999999999995,Macaroni and Pasta,0.48894624999999997
58146222,"Pasta with tomato-based sauce, home recipe",10.0,265.0,505.0,0.4325,7.35,Macaroni and Pasta,0.50029125
58146223,"Pasta with tomato-based sauce, ready-to-heat",10.0,300.0,845.0,1.0274999999999999,7.199999999999999,Macaroni and Pasta,0.5102675
58146602,"Pasta, whole grain, with tomato-based sauce, home recipe",10.0,255.0,510.0,0.52,7.6,Macaroni and Pasta,0.52017875
58146215,"Pasta with sauce, meatless, school lunch",10.0,255.0,220.0,0.5175,7.574999999999999,Macaroni and Pasta,0.5225075
58146603,"Pasta, whole grain, with tomato-based sauce, ready-to-heat",10.0,290.0,850.0,1.1125,7.425000000000001,Macaroni and Pasta,0.5321725
58146221,"Pasta with tomato-based sauce, restaurant",10.0,400.0,967.5,2.6925,6.800000000000001,Macaroni and Pasta,0.5372600000000001
58146160,"Pasta with vegetables, no sauce or dressing",10.0,360.0,370.0,1.27,3.1,Macaroni and Pasta,0.5542625
58145119,"Macaroni or noodles with cheese, made from reduced fat packaged mix",3.0,327.5,430.0,4.2,5.2749999999999995,Instant Noodles and Soups,0.555325
58146302,"Pasta with tomato-based sauce, and added vegetables, home recipe",10.0,260.0,387.5,0.405,6.7,Macaroni and Pasta,0.55650625
58403010,"Soup, chicken noodle, canned",3.0,105.0,667.5,0.53,3.0,Instant Noodles and Soups,0.56153875
58146342,"Pasta with tomato-based sauce and poultry, home recipe",10.0,295.0,495.0,0.8250000000000001,6.1,Macaroni and Pasta,0.57157375
58145112,"Macaroni or noodles with cheese, made from packaged mix",3.0,447.5,402.5,8.025,8.625,Instant Noodles and Soups,0.5734225
58148112,"Macaroni or pasta salad, made with mayonnaise-type salad dressing",10.0,400.0,527.5,1.6300000000000001,8.2,Macaroni and Pasta,0.603745
